Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id,Count_Number,Transfers,id,Total_Votes
99,,,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,1,0,0,99
2395,,,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,1,0,1,2395
68,,,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,1,0,2,68
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,1,0,3,6079
56,,,Longstaff,John,S13002919,Independent,21606,1,0,4,56
375,,,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,1,0,5,375
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,1,0,6,1240
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,1,0,7,786
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,1,0,8,1971
1138,,,Young,Louise,S13002919,Liberal Democrats,9213,1,0,9,1138
99,,,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,2,13.84448,10,112.84448
2395,,,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,2,332.8,11,2727.8
68,,,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,2,10.6496,12,78.6496
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,2,-3237,13,2842
56,,,Longstaff,John,S13002919,Independent,21606,2,12.77952,14,68.77952
375,,,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,2,55.37792,15,430.37792
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,2,45.79328,16,1285.79328
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,2,82.5344,17,868.53440
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,2,83.59936,18,2054.59936
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,2,2514.90304,19,3652.90304
99,,,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,3,5.92726,20,118.77174
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,3,267.40116,21,2995.20116
68,,,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,3,6.77192,22,85.42152
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,3,0,23,2842
56,,,Longstaff,John,S13002919,Independent,21606,3,20.29850,24,89.07802
375,,,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,3,64.69232,25,495.07024
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,3,20.19756,26,1305.99084
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,3,97.47086,27,966.00526
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,3,50.99554,28,2105.59490
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,3,-810.90304,29,2842
99,,,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,4,4.69321,30,123.4695
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,4,-153.20116,31,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,4,14.94431,32,100.36583
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,4,0,33,2842
56,,,Longstaff,John,S13002919,Independent,21606,4,12.61973,34,101.69775
375,,,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,4,6.97962,35,502.04986
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,4,2.59311,36,1308.58395
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,4,18.63715,37,984.64241
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,4,2.68086,38,2108.27576
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,4,0,39,2842
99,,,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,5,10.58284,40,134.04779
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,5,0,41,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,5,-100.36583,42,0
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,5,0,43,2842
56,Excluded,5,Longstaff,John,S13002919,Independent,21606,5,18.32491,44,120.02266
375,,,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,5,7.72466,45,509.77452
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,5,13.03990,46,1321.62385
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,5,11.08127,47,995.72368
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,5,2.55971,48,2110.83547
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,5,0,49,2842
99,Excluded,6,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,6,4.87662,50,138.92441
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,6,0,51,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,6,0,52,0
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,6,0,53,2842
56,Excluded,5,Longstaff,John,S13002919,Independent,21606,6,-120.02266,54,0
375,,,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,6,27.47654,55,537.25106
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,6,4.44036,56,1326.06421
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,6,19.02317,57,1014.74685
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,6,6.45478,58,2117.29025
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,6,0,59,2842
99,Excluded,6,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,7,-138.92441,60,0
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,7,0,61,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,7,0,62,0
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,7,0,63,2842
56,Excluded,5,Longstaff,John,S13002919,Independent,21606,7,0,64,0
375,Excluded,7,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,7,20.75387,65,558.00493
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,7,16.53248,66,1342.59669
786,,,Whitehead,Bruce,S13002919,Labour Party,6792,7,22.88931,67,1037.63616
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,7,6.01809,68,2123.30834
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,7,0,69,2842
99,Excluded,6,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,8,0,70,0
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,8,0,71,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,8,0,72,0
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,8,0,73,2842
56,Excluded,5,Longstaff,John,S13002919,Independent,21606,8,0,74,0
375,Excluded,7,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,8,-558.00493,75,0
1240,,,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,8,142.49112,76,1485.08781
