Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id,Count_Number,Transfers,id,Total_Votes
786,Excluded,8,Whitehead,Bruce,S13002919,Labour Party,6792,8,129.70481,77,1167.34097
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,8,101.73031,78,225.03865
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,8,0,79,2842
99,Excluded,6,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,9,0,80,0
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,9,0,81,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,9,0,82,0
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,9,0,83,2842
56,Excluded,5,Longstaff,John,S13002919,Independent,21606,9,0,84,0
375,Excluded,7,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,9,0,85,0
1240,Excluded,9,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,9,206.29225,86,1691.38006
786,Excluded,8,Whitehead,Bruce,S13002919,Labour Party,6792,9,-1167.34097,87,0
1971,,,Work,Norman,S13002919,Scottish National Party (SNP),20260,9,162.65171,88,2387.69036
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,9,0,89,2842
99,Excluded,6,Fraser,Daniel,S13002919,Scottish Libertarian Party,21605,10,0,90,0
2395,Elected,3,Hutchison,Graham,S13002919,Conservative and Unionist Party,8370,10,0,91,2842
68,Excluded,4,Inglis,Otto,S13002919,UK Independence Party (UKIP),944,10,0,92,0
6079,Elected,1,Lang,Kevin,S13002919,Liberal Democrats,824,10,0,93,2842
56,Excluded,5,Longstaff,John,S13002919,Independent,21606,10,0,94,0
375,Excluded,7,Mckinnon-Waddell,Iain,S13002919,Scottish Green Party,20562,10,0,95,0
1240,Excluded,9,Mitchell,Pamela,S13002919,Scottish National Party (SNP),20261,10,-1691.38006,96,0
786,Excluded,8,Whitehead,Bruce,S13002919,Labour Party,6792,10,0,97,0
1971,Elected,10,Work,Norman,S13002919,Scottish National Party (SNP),20260,10,1356.51048,98,3744.20084
1138,Elected,2,Young,Louise,S13002919,Liberal Democrats,9213,10,0,99,2842
