Council name,Contest Name,First Name,Surname,Party Description,
East Dunbartonshire Council,Ward 4 - Bishopbriggs North & Campsie,Gemma,WELSH,Scottish Labour Party,
East Dunbartonshire Council,Ward 5 - Bishopbriggs South,Connor,BOYD,Scottish Green Party,
East Dunbartonshire Council,Ward 5 - Bishopbriggs South,Gordan,LOW,Scottish National Party (SNP),
East Dunbartonshire Council,Ward 5 - Bishopbriggs South,Irene,MACKAY,Scottish National Party (SNP),
East Dunbartonshire Council,Ward 5 - Bishopbriggs South,Alan,BROWN,Scottish Conservative and Unionist,
East Dunbartonshire Council,Ward 5 - Bishopbriggs South,Ian James,ELRICK,Scottish Labour Party,
East Dunbartonshire Council,Ward 5 - Bishopbriggs South,Alan,MOIR,Scottish Labour Party,
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Sandy,TAYLOR,Independent,
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Rhondda,GEEKIE,Scottish Labour Party,
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Carolynn,SCRIMGEOUR,Scottish Green Party,
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Martin,ROBERTSON,Scottish National Party (SNP),
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Gillian,RENWICK,Scottish National Party (SNP),
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Sandra,THORNTON,Scottish Conservative and Unionist,
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Alisdair,SINCLAIR,Independent,
East Dunbartonshire Council,Ward 6 - Lenzie & Kirkintilloch South,Rod,ACKLAND,Scottish Liberal Democrats,
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,Willie,PATERSON,Independent,
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,Susan,MURRAY,Scottish Liberal Democrats,
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,Emma,SHEPPARD,Scottish Green Party,
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,Stewart,MACDONALD,Scottish Labour Party,
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,Alison,LOTHIAN,Scottish Conservative and Unionist,
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,Pamela,MARSHALL,Scottish National Party (SNP),
East Dunbartonshire Council,Ward 7 - Kirkintilloch East & North & Twechar,John,JAMIESON,Scottish National Party (SNP),
46,,,,,
East Lothian Council,Ward 1 - Musselburgh,John Murray,CALDWELL,Independent,
East Lothian Council,Ward 1 - Musselburgh,Theresa,SIVES,Independent,
East Lothian Council,Ward 1 - Musselburgh,Katie,MACKIE,Scottish Conservative and Unionist,
East Lothian Council,Ward 1 - Musselburgh,Jason,ROSE,Scottish Green Party,
East Lothian Council,Ward 1 - Musselburgh,Claire Frances,GRAHAM,Scottish Liberal Democrats,
East Lothian Council,Ward 1 - Musselburgh,Stuart McDonald,CURRIE,Scottish National Party (SNP),
East Lothian Council,Ward 1 - Musselburgh,John Charles,WILLIAMSON,Scottish National Party (SNP),
East Lothian Council,Ward 1 - Musselburgh,Andy,FORREST,Scottish Labour Party,
East Lothian Council,Ward 1 - Musselburgh,Katherine,SANGSTER,Scottish Labour Party,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Brian,WEDDELL,Scottish Labour Party,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Fiona,O'DONNELL,Scottish Labour Party,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Lachlan,BRUCE,Scottish Conservative and Unionist,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Lesley Anne,ORR,Scottish Green Party,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Ghill Duncan,DONALD,Scottish Liberal Democrats,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Willie,INNES,Scottish Labour Party,
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Neil George,GILBERT,Scottish National Party (SNP),
East Lothian Council,"Ward 2 - Preston, Seton and Gosford",Janis,WILSON,Scottish National Party (SNP),
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Jim,GILLIES,Scottish Labour Party,
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Jimmy,HADDOW,Scottish Trade Unionist and Socialist Coalition,
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Gordon,MACKETT,Scottish Conservative and Unionist,
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Colin Peter,MCGINN,Scottish Labour Party,
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Alexander John,GRAHAM,Scottish Liberal Democrats,
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Fiona,DUGDALE,Scottish Labour Party,
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Kenny,MCLEOD,Scottish National Party (SNP),
East Lothian Council,"Ward 3 - Tranent, Wallyford and Macmerry",Linda,WATSON,Scottish National Party (SNP),
East Lothian Council,Ward 4 - North Berwick Coastal,Laura Lowe,FORREST,Scottish National Party (SNP),
East Lothian Council,Ward 4 - North Berwick Coastal,Jane,HENDERSON,Scottish Conservative and Unionist,
East Lothian Council,Ward 4 - North Berwick Coastal,Jeremy,FINDLAY,Scottish Conservative and Unionist,
East Lothian Council,Ward 4 - North Berwick Coastal,Eurig,SCANDRETT,Scottish Green Party,
East Lothian Council,Ward 4 - North Berwick Coastal,Robert James,O'RIORDAN,Scottish Liberal Democrats,
East Lothian Council,Ward 4 - North Berwick Coastal,Jim,GOODFELLOW,Scottish Labour Party,
East Lothian Council,Ward 5 - Haddington and Lammermuir,Brian,SMALL,Scottish Conservative and Unionist,
East Lothian Council,Ward 5 - Haddington and Lammermuir,Cris,THACKER,Scottish Green Party,
East Lothian Council,Ward 5 - Haddington and Lammermuir,Kelvin Logan,PATE,Scottish Liberal Democrats,
East Lothian Council,Ward 5 - Haddington and Lammermuir,Tom,TROTTER,Scottish National Party (SNP),
East Lothian Council,Ward 5 - Haddington and Lammermuir,John,MCMILLAN,Scottish Labour Party,
East Lothian Council,Ward 5 - Haddington and Lammermuir,Shamin,AKHTAR,Scottish Labour Party,
East Lothian Council,Ward 5 - Haddington and Lammermuir,Ruth,CURRIE,Scottish National Party (SNP),
East Lothian Council,Ward 6 - Dunbar and East Linton,Sue,KEMPSON,Scottish Conservative and Unionist,
East Lothian Council,Ward 6 - Dunbar and East Linton,Sarah,BEATTIE-SMITH,Scottish Green Party,
East Lothian Council,Ward 6 - Dunbar and East Linton,Norman,HAMPSHIRE,Scottish Labour Party,
East Lothian Council,Ward 6 - Dunbar and East Linton,Elisabeth Mary,WILSON,Scottish Liberal Democrats,
East Lothian Council,Ward 6 - Dunbar and East Linton,Paul,MCLENNAN,Scottish National Party (SNP),
East Lothian Council,Ward 6 - Dunbar and East Linton,Isobel,KNOX,Scottish National Party (SNP),
44,,,,,
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",Paul,AITKEN,Scottish Conservative and Unionist,
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",Betty Wood,CUNNINGHAM,Scottish Labour Party,
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",Danny,DEVLIN,Independent,
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",John J,FERGUSON,UKIP,
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",Kenny,HAY,Scottish Labour Party,
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",Tommy,REILLY,Scottish National Party (SNP),
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",Angela ,CONVERY,Scottish National Party (SNP),
East Renfrewshire Council ,"Ward 1 - Barrhead, Liboside and Uplawmoor",David,ALLISON,Scottish Green Party,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Charlie,GILBERT,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,David,JESNER,,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Andrew,MORRISON,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Paul,O'KANE,Labour and Co-operative Party,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Kirsteen,ALLAN,Independent,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Stuart,SUTHERLAND,UKIP,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Tony,BUCHANAN,Scottish National Party (SNP),
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Robert,MALYN,Social Democratic Party Scotland,
East Renfrewshire Council ,Ward 2 - Newton Mearns North and Neilston,Roy,PROVAN,Scottish Liberal Democrats,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Paul,DRURY,Independent,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Jim,FLETCHER,Scottish Labour Party,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Gordon,MCCASKILL,Independent,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Christopher,PARK,Scottish Liberal Democrats,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Paul,SMITH,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Gordon,WALLACE,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Colm ,MERRICK,Scottish National Party (SNP),
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Savio Andrew,D'SOUZA,Independent,
East Renfrewshire Council ,Ward 3 - Giffnock and Thornliebank,Alan ,FINDLAY,Scottish Libertarian Party,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Andrea ,GEE,Scottish Conservative and Unionist,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Sarah Louise,HEMY,UKIP,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Alan,LAFFERTY,Labour and Co-operative Party,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",David,MACDONALD,Independent,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Alex ,MACKIE,Scottish Liberal Democrats,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Stewart,MILLER,Scottish Conservative and Unionist,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Mary,MONTAGUE,Labour and Co-operative Party,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Ralph,ROBERTSON,Independent,
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Annette,IRELAND,Scottish National Party (SNP),
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",James,MILLS,Scottish National Party (SNP),
East Renfrewshire Council ,"Ward 4 - Clarkston, Netherlee and Williamwood",Laura,STEVENS,Scottish Green Party,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Caroline,BAMFORTH,Scottish National Party (SNP),
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Barbara,GRANT,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Ian,MCALPINE,Labour and Co-operative Party,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Jim,MCLEAN,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Gerry,MCVEIGH,UKIP,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Alan ,RENNIE,Scottish Liberal Democrats,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Jim,SWIFT,Scottish Conservative and Unionist,
East Renfrewshire Council ,Ward 5 - Newton Mearns South and Eaglesham,Bev,BROWN,Independent,
45,,,,,
Falkirk Council,Ward 1 - Bo'ness and Blackness,Lynn,MUNRO,Scottish Conservative and Unionist,
Falkirk Council,Ward 1 - Bo'ness and Blackness,Mari-Ellena ,CORVI,Scottish Green Party,
Falkirk Council,Ward 1 - Bo'ness and Blackness,David,AITCHISON,Scottish Labour Party,
Falkirk Council,Ward 1 - Bo'ness and Blackness,Michael,BURNETT,Scottish Labour Party ,
Falkirk Council,Ward 1 - Bo'ness and Blackness,Alan,GILBERT,Scottish National Party (SNP),
Falkirk Council,Ward 1 - Bo'ness and Blackness,Ann,RITCHIE,Scottish National Party (SNP),
Falkirk Council,Ward 2 - Grangemouth,Robert,SPEARS,Independent,
Falkirk Council,Ward 2 - Grangemouth,James,BUNDY,Scottish Conservative and Unionist,
Falkirk Council,Ward 2 - Grangemouth,Allyson,BLACK,Scottish Labour Party,
Falkirk Council,Ward 2 - Grangemouth,Judith,MCLAUGHLIN,Scottish Green Party,
Falkirk Council,Ward 2 - Grangemouth,Margaret-Anne,MILNE,Scottish National Party (SNP),
Falkirk Council,Ward 2 - Grangemouth,David,BALFOUR,Scottish National Party (SNP),
Falkirk Council,Ward 3 - Denny and Banknock,Khalid,HAMID,Scottish Labour Party,
Falkirk Council,Ward 3 - Denny and Banknock,Brian,MCCABE,Independent,
Falkirk Council,Ward 3 - Denny and Banknock,Fiona Elizabeth,COLLIE,Scottish National Party (SNP),
Falkirk Council,Ward 3 - Denny and Banknock,Nigel,HARRIS,Scottish Conservative and Unionist,
Falkirk Council,Ward 3 - Denny and Banknock,Jim ,BLACKWOOD,Scottish Labour Party,
Falkirk Council,Ward 3 - Denny and Banknock,Cheryl,BRIND,Scottish Green Party,
Falkirk Council,Ward 3 - Denny and Banknock,Anne,MONTGOMERY,Independent,
Falkirk Council,Ward 3 - Denny and Banknock,Paul,GARNER,Scottish National Party (SNP),
Falkirk Council,Ward 3 - Denny and Banknock,Alexander John,WADDELL,Independent,
Falkirk Council,Ward 3 - Denny and Banknock,Sean,MELLON,Tommy Sheridan - Solidarity - Hope Over Fear,
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Jim,FLYNN,Scottish Conservative and Unionist,
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Martin,MURRAY,Scottish Labour Party,
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Joan Margaret,COOMBES,Scottish Labour Party,
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Chris,MARSH,Scottish Green Party,
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Laura,MURTAGH,Scottish National Party (SNP),
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Gary,BOUSE,Scottish National Party (SNP),
Falkirk Council,"Ward 4 - Carse, Kinnaird and Tryst",Safia,ALI,Independent,
Falkirk Council,Ward 5 - Bonnybridge and Larbert,David,GRANT,Scottish Conservative and Unionist,
Falkirk Council,Ward 5 - Bonnybridge and Larbert,Janine Danielle,RENNIE,Independent,
Falkirk Council,Ward 5 - Bonnybridge and Larbert,David George,ROBERTSON,Scottish Green Party,
Falkirk Council,Ward 5 - Bonnybridge and Larbert,Tom,COLEMAN,Scottish National Party (SNP),
Falkirk Council,Ward 5 - Bonnybridge and Larbert,Billy,BUCHANAN,Independent,
Falkirk Council,Ward 5 - Bonnybridge and Larbert,Linda,GOW,Labour and Co-operative Party,
Falkirk Council,Ward 6 - Falkirk North,David,ALEXANDER,Scottish National Party (SNP),
Falkirk Council,Ward 6 - Falkirk North,Wendy ,CHANDRACHUD,Scottish Conservative and Unionist ,
Falkirk Council,Ward 6 - Falkirk North,Cecil,MEIKLEJOHN,Scottish National Party (SNP),
Falkirk Council,Ward 6 - Falkirk North,Debra,PICKERING,Scottish Green Party,
Falkirk Council,Ward 6 - Falkirk North,Robert,BISSETT,Scottish Labour Party,
Falkirk Council,Ward 6 - Falkirk North,Dennis,GOLDIE,Scottish Labour Party,
Falkirk Council,Ward 7 - Falkirk South,John,PATRICK,Scottish Conservative and Unionist,
Falkirk Council,Ward 7 - Falkirk South,Donnie,BUCHANAN,Scottish Green Party,
Falkirk Council,Ward 7 - Falkirk South,Pat,REID,Scottish Labour Party,
Falkirk Council,Ward 7 - Falkirk South,Lorna Catherine,BINNIE,Scottish National Party (SNP),
Falkirk Council,Ward 8 - Lower Braes,Ricky,WILSON,Independent,
Falkirk Council,Ward 8 - Lower Braes,Malcolm,NICOL,Scottish Conservative and Unionist,
Falkirk Council,Ward 8 - Lower Braes,Chris,BRIND,Scottish Green Party,
Falkirk Council,Ward 8 - Lower Braes,Adanna Bridget,MCCUE,Scottish National Party (SNP),
Falkirk Council,Ward 8 - Lower Braes,Alan,NIMMO,Scottish Labour Party,
Falkirk Council,Ward 8 - Lower Braes,Stuart,MARTIN,UKIP,
Falkirk Council,Ward 8 - Lower Braes,Steven,JACKSON,Independent,
Falkirk Council,Ward 8 - Lower Braes,Sam,HEMPLE,Independent,
Falkirk Council,Ward 9 - Upper Braes,Jim,ROBERTSON,Independent,
Falkirk Council,Ward 9 - Upper Braes,James,KERR,Scottish Conservative and Unionist,
Falkirk Council,Ward 9 - Upper Braes,Gordon,HUGHES,Scottish National Party (SNP),
Falkirk Council,Ward 9 - Upper Braes,Tom,MCLAUGHLIN,Scottish Green Party,
Falkirk Council,Ward 9 - Upper Braes,John,MCLUCKIE,Scottish Labour Party,
Falkirk Council,Ward 9 - Upper Braes,Farah,FARZANA,Scottish National Party (SNP),
Falkirk Council,Ward 9 - Upper Braes,Neil,DURNING,Independent,
60,,,,,
Fife Council,Ward 1 - West Fife & Coastal Villages,Aude,BOUBAKER-CALDER,Scottish Liberal Democrats,
Fife Council,Ward 1 - West Fife & Coastal Villages,Bobby,CLELLAND,Scottish Labour Party,
Fife Council,Ward 1 - West Fife & Coastal Villages,Suzanne,DAVIES,Scottish Labour Party,
Fife Council,Ward 1 - West Fife & Coastal Villages,Willie,GAVIN,Scottish National Party (SNP),
Fife Council,Ward 1 - West Fife & Coastal Villages,Martin,KEATINGS,Independent,
Fife Council,Ward 1 - West Fife & Coastal Villages,Mino,MANEKSHAW,Scottish Conservative and Unionist,
Fife Council,Ward 1 - West Fife & Coastal Villages,Kate,STEWART,Scottish National Party (SNP),
Fife Council,Ward 1 - West Fife & Coastal Villages,Jeroen,VAN LEEUWEN,Scottish Green Party,
Fife Council,Ward 2 - Dunfermline North,Michael,BOYD,Scottish Labour Party,
Fife Council,Ward 2 - Dunfermline North,Gavin,ELLIS,Scottish Conservative and Unionist,
Fife Council,Ward 2 - Dunfermline North,Ian,FERGUSON,Scottish National Party (SNP),
Fife Council,Ward 2 - Dunfermline North,Fiona Elizabeth,FISHER,Scottish National Party (SNP),
Fife Council,Ward 2 - Dunfermline North,Mags,HALL,Scottish Green Party,
Fife Council,Ward 2 - Dunfermline North,Bryn,JONES,Scottish Liberal Democrats,
Fife Council,Ward 2 - Dunfermline North,Helen,LAW,Scottish Labour Party,
Fife Council,Ward 3 - Dunfermline Central,Alan,CRAIG,Scottish Conservative and Unionist,
Fife Council,Ward 3 - Dunfermline Central,Garry,HALDANE,Scottish Labour Party,
Fife Council,Ward 3 - Dunfermline Central,Jean,HALL MUIR,Scottish National Party (SNP),
Fife Council,Ward 3 - Dunfermline Central,Neale,HANVEY,Scottish National Party (SNP),
Fife Council,Ward 3 - Dunfermline Central,Doug,HAY,Independent,
Fife Council,Ward 3 - Dunfermline Central,Deek,JACKSON,Independent,
Fife Council,Ward 3 - Dunfermline Central,Lauren,JONES,Scottish Liberal Democrats,
Fife Council,Ward 3 - Dunfermline Central,Jim,LEISHMAN,Scottish Labour Party,
Fife Council,Ward 3 - Dunfermline Central,Kerstin,ROMANO,Scottish Green Party,
Fife Council,Ward 4 - Dunfermline South,James,CALDER,Scottish Liberal Democrats,
Fife Council,Ward 4 - Dunfermline South,Michael,COLLIE,Scottish Green Party,
Fife Council,Ward 4 - Dunfermline South,Brian John,GOODALL,Scottish National Party (SNP),
Fife Council,Ward 4 - Dunfermline South,Ross,PATERSON,Scottish Labour Party,
Fife Council,Ward 4 - Dunfermline South,Billy,POLLOCK,Scottish Labour Party,
Fife Council,Ward 4 - Dunfermline South,David,ROSS,Scottish Conservative and Unionist,
Fife Council,Ward 4 - Dunfermline South,Fay,SINCLAIR,Scottish National Party (SNP),
Fife Council,Ward 5 - Rosyth,Wendy,CHAMBERLAIN,Scottish Liberal Democrats,
Fife Council,Ward 5 - Rosyth,Steven,LECKIE,Independent,
Fife Council,Ward 5 - Rosyth,Alastair,MACINTYRE,Independent,
Fife Council,Ward 5 - Rosyth,Fiona,MCOWAN,Scottish Green Party,
Fife Council,Ward 5 - Rosyth,Tony,ORTON,Scottish Conservative and Unionist,
Fife Council,Ward 5 - Rosyth,Mike,SHIRKIE,Independent,
Fife Council,Ward 5 - Rosyth,Samantha,STEELE,Scottish National Party (SNP),
Fife Council,Ward 5 - Rosyth,Andrew,VERRECCHIA,Scottish Labour Party,
Fife Council,Ward 5 - Rosyth,Sharon,WILSON,Scottish National Party (SNP),
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,David John,BARRATT,Scottish National Party (SNP),
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,Helen,CANNON-TODD,Independent,
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,Dave,DEMPSEY,Scottish Conservative and Unionist,
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,David John,HANSEN,Scottish Green Party,
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,Callum,HAWTHORNE,Scottish Liberal Democrats,
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,Lesley,LAIRD,Scottish Labour Party,
Fife Council,Ward 6 - Inverkeithing & Dalgety Bay,Alice,MCGARRY,Scottish National Party (SNP),
Fife Council,Ward 7 - Cowdenbeath,ALISTAIR,BAIN,Scottish National Party (SNP),
Fife Council,Ward 7 - Cowdenbeath,ANN,BAIN,Scottish National Party (SNP),
Fife Council,Ward 7 - Cowdenbeath,Alex,CAMPBELL,Scottish Labour Party,
Fife Council,Ward 7 - Cowdenbeath,Angela,DIXON,Scottish Green Party,
Fife Council,Ward 7 - Cowdenbeath,Gary,GUICHAN,Scottish Labour Party,
Fife Council,Ward 7 - Cowdenbeath,Elizabeth,RICHES,Scottish Liberal Democrats,
Fife Council,Ward 7 - Cowdenbeath,Darren,WATT,Scottish Conservative and Unionist,
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,Mary,BAIN LOCKHART,Scottish Labour Party,
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,Scott Gilbert,CAMPBELL,Scottish Conservative and Unionist,
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,Linda,ERSKINE,Scottish Labour Party,
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,James,GLEN,Independent,
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,Rosemary,LIEWALD,Scottish National Party (SNP),
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,Ronnie,MACKIE,Scottish Green Party,
Fife Council,Ward 8 - Lochgelly Cardenden & Benarty,Lea,MCLELLAND,Scottish National Party (SNP),
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Lesley,BACKHOUSE,Scottish National Party (SNP),
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Peter,GEORGE,Independent,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Gordon,LANGLANDS,Scottish Labour Party,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,KATHLEEN,LESLIE,Scottish Conservative and Unionist,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,SUSAN,LESLIE,Scottish Liberal Democrats,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Roy William,MACKIE,Independent,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Stuart,MACPHAIL,Scottish National Party (SNP),
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Bill,MAIR,Solidarity - Scotland's Socialist Movement,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Scott,RUTHERFORD,Scottish Green Party,
Fife Council,Ward 9 - Burntisland Kinghorn & Western Kirkcaldy,Fiona,SWORD,Scottish Labour Party,
Fife Council,Ward 10 - Kirkcaldy North,Neil,CROOKS,Scottish Labour Party,
Fife Council,Ward 10 - Kirkcaldy North,Harald,GAVIN,Scottish Liberal Democrats,
Fife Council,Ward 10 - Kirkcaldy North,Jane,GLEN,Scottish National Party (SNP),
Fife Council,Ward 10 - Kirkcaldy North,Susan Natalie,JEYNES,Scottish Green Party,
Fife Council,Ward 10 - Kirkcaldy North,James,LESLIE,Scottish Conservative and Unionist,
Fife Council,Ward 10 - Kirkcaldy North,Carol,LINDSAY,Scottish National Party (SNP),
Fife Council,Ward 10 - Kirkcaldy North,David,ROSS,Scottish Labour Party,
Fife Council,Ward 11 - Kirkcaldy Central,Alistair,CAMERON,Scottish Labour Party,
Fife Council,Ward 11 - Kirkcaldy Central,Tricia,DAKERS,Scottish Liberal Democrats,
Fife Council,Ward 11 - Kirkcaldy Central,Judy,HAMILTON,Scottish Labour Party,
Fife Council,Ward 11 - Kirkcaldy Central,Zoe,HISBENT,Scottish National Party (SNP),
Fife Council,Ward 11 - Kirkcaldy Central,Cairinne,MACDONALD,Scottish Green Party,
Fife Council,Ward 11 - Kirkcaldy Central,Calum,PAUL,Scottish Libertarian Party,
Fife Council,Ward 11 - Kirkcaldy Central,Daniel,PENMAN,Independent,
Fife Council,Ward 11 - Kirkcaldy Central,Dorothy,ROSS,Scottish Conservative and Unionist,
Fife Council,Ward 11 - Kirkcaldy Central,Maciej,WICZYNSKI,Scottish National Party (SNP),
Fife Council,Ward 12 - Kirkcaldy East,IAN JOHN,CAMERON,Scottish Labour Party,
Fife Council,Ward 12 - Kirkcaldy East,MHAIRI CAITLIN,CAMERON,Scottish Labour Party,
Fife Council,Ward 12 - Kirkcaldy East,Rod,CAVANAGH,Scottish National Party (SNP),
Fife Council,Ward 12 - Kirkcaldy East,Sandy,FORBES,Scottish Green Party,
Fife Council,Ward 12 - Kirkcaldy East,Steve,MCMAHON,Scottish National Party (SNP),
Fife Council,Ward 12 - Kirkcaldy East,Marie,PENMAN,Independent,
Fife Council,Ward 12 - Kirkcaldy East,Matthew,RITCHIE,Independent,
Fife Council,Ward 12 - Kirkcaldy East,Stephen William,ROTTGER,Scottish Liberal Democrats,
Fife Council,Ward 12 - Kirkcaldy East,Richard,WATT,Scottish Conservative and Unionist,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Bill,BROWN,Independent,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Lewis Alan,CAMPBELL,Scottish Green Party,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Altany,CRAIK,Scottish Labour Party,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,David,CROLL,Scottish Conservative and Unionist,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Julie,FORD,Scottish National Party (SNP),
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Martin,GREEN,UKIP,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Derek,PRESTON,Scottish Liberal Democrats,
Fife Council,Ward 13 - Glenrothes West & Kinglassie,Craig,WALKER,Scottish National Party (SNP),
Fife Council,Ward 14 - Glenrothes North Leslie & Markinch,John,BEARE,Scottish National Party (SNP),
Fife Council,Ward 14 - Glenrothes North Leslie & Markinch,Jamie,DONALDSON,"No Referendum, Maintain Union, Pro-Brexit",
