Council name,Contest Name,First Name,Surname,Party Description,
Aberdeen City Council,George St/Harbour Ward,Mike,SCOTT,"Aberdeen Labour, making it happen",
Aberdeen City Council,George St/Harbour Ward,John William,STEPHEN,UKIP,
Aberdeen City Council,George St/Harbour Ward,Wendy Alison Edmond,STUART,Scottish National Party (SNP),
Aberdeen City Council,George St/Harbour Ward,John,WADDELL,Scottish Liberal Democrats,
Aberdeen City Council,Lower Deeside Ward,Philip,BELL,Scottish Conservative and Unionist,
Aberdeen City Council,Lower Deeside Ward,Marie,BOULTON,Independent,
Aberdeen City Council,Lower Deeside Ward,Robbie,BOWMAN,Scottish Libertarian Party,
Aberdeen City Council,Lower Deeside Ward,M. Tauqeer,MALIK,"Aberdeen Labour, making it happen",
Aberdeen City Council,Lower Deeside Ward,Pamela Diane,MCBAIN,Scottish National Party (SNP),
Aberdeen City Council,Lower Deeside Ward,Ken,MCLEOD,Scottish Liberal Democrats,
Aberdeen City Council,Lower Deeside Ward,Nir,OREN,Scottish Green Party,
Aberdeen City Council,Lower Deeside Ward,Kenneth Raymond,PRATT,Independent,
Aberdeen City Council,Hazlehead/Queens Cross/Countesswells Ward,John,COOKE,Scottish National Party (SNP),
Aberdeen City Council,Hazlehead/Queens Cross/Countesswells Ward,Martin,GREIG,Scottish Liberal Democrats,
Aberdeen City Council,Hazlehead/Queens Cross/Countesswells Ward,Claire,IMRIE,Scottish Conservative and Unionist,
Aberdeen City Council,Hazlehead/Queens Cross/Countesswells Ward,John,MCLEOD,"Aberdeen Labour, making it happen",
Aberdeen City Council,Hazlehead/Queens Cross/Countesswells Ward,Steve,ROBERTSON,Scottish Conservative and Unionist,
Aberdeen City Council,Hazlehead/Queens Cross/Countesswells Ward,Jennifer,STEWART,Scottish Liberal Democrats,
Aberdeen City Council,Airyhall/Broomhill/Garthdee Ward,Douglas,LUMSDEN,Scottish Conservative and Unionist,
Aberdeen City Council,Airyhall/Broomhill/Garthdee Ward,Angela,TAYLOR,"Aberdeen Labour, making it happen",
Aberdeen City Council,Airyhall/Broomhill/Garthdee Ward,Gordon Scott,TOWNSON,Scottish National Party (SNP),
Aberdeen City Council,Airyhall/Broomhill/Garthdee Ward,Ian,YUILL,Scottish Liberal Democrats,
Aberdeen City Council,Torry/Ferryhill Ward,Yvonne,ALLAN,"Aberdeen Labour, making it happen",
Aberdeen City Council,Torry/Ferryhill Ward,Christian Guy,ALLARD,Scottish National Party (SNP),
Aberdeen City Council,Torry/Ferryhill Ward,Alan,DONNELLY,Scottish Conservative and Unionist,
Aberdeen City Council,Torry/Ferryhill Ward,David,FRYER,Independent,
Aberdeen City Council,Torry/Ferryhill Ward,Catriona,MACKENZIE,Scottish National Party (SNP),
Aberdeen City Council,Torry/Ferryhill Ward,Gregor,MCABERY,Scottish Liberal Democrats,
Aberdeen City Council,Torry/Ferryhill Ward,William Allan,MCINTOSH,UKIP,
Aberdeen City Council,Torry/Ferryhill Ward,Ren̩e,SLATER,Scottish Green Party,
