id,name,honorific_prefix,honorific_suffix,gender,birth_date,election,party_id,party_name,post_id,post_label,mapit_url,elected,email,twitter_username,facebook_page_url,party_ppc_page_url,facebook_personal_url,homepage_url,wikipedia_url,linkedin_url,image_url,proxy_image_url_template,image_copyright,image_uploading_user,image_uploading_user_notes,twitter_user_id,election_date,election_current,party_lists_in_use,party_list_position,old_person_ids,gss_code,parlparse_id,theyworkforyou_url,party_ec_id,favourite_biscuits,cancelled_poll,wikidata_id
990046,Mick Wallace,,,,,europarl.2019-05-23,,Independents 4 Change,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990047,Olive O'Connor,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990048,Paddy Fitzgerald,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990049,Patrick Greene,,,,,europarl.2019-05-23,,Direct Democracy Ireland,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990050,Peter Casey,,,,,europarl.2019-05-23,,Non-party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990051,Peter Madden,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990052,Peter O'Loughlin,,,,,europarl.2019-05-23,,Identity Ireland,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990053,Rita Harrold,,,,,europarl.2019-05-23,,Socialist Party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990054,Saoirse McHugh,,,,,europarl.2019-05-23,,Green Party,EUR:midlands-northwest,Midlands / North-west,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990055,Sean Kelly,,,,,europarl.2019-05-23,,Fine Gael,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990056,Sheila Nunan,,,,,europarl.2019-05-23,,Labour,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990057,Theresa Heaney,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990058,Tony Bosco Lowth,,,,,europarl.2019-05-23,,Non-party,EUR:dublin,Dublin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990059,Walter Ryan-Purcell,,,,,europarl.2019-05-23,,Non-party,EUR:south,Ireland South,,,,,,,,,,,,,,,,,,,,,,,,,,,,
