Candidate_First_Pref_Votes,Status,Occurred_On_Count,Surname,Firstname,Constituency_Number,Party_Name,Candidate_Id,Count_Number,Transfers,id,Total_Votes
442,Excluded,4,Robinson,Courtney,2,Cross-Community Labour Alternative,13041,8,0.00,111,0.00
5275,Elected,9,Allen,Andy,2,Ulster Unionist Party,8116,9,1209.00,112,7257.62
275,Excluded,4,Bodel,Sheila,2,NI Conservatives,19719,9,0.00,113,0.00
6007,Elected,9,Bunting,Joanne,2,Democratic Unionist Party,13032,9,484.00,114,6759.01
4431,,,Douglas,David,2,Democratic Unionist Party,19687,9,395.52,115,4995.25
250,Excluded,3,de Faoite,Séamas,2,Social Democratic and Labour Party,19745,9,0.00,116,0.00
917,Excluded,5,Girvin,Andrew,2,Traditional Unionist Voice,13035,9,0.00,117,0.00
2658,Excluded,8,Kyle,John,2,Progressive Unionist Party,13037,9,-3148.79,118,0.00
7610,Elected,1,Long,Naomi,2,Alliance Party,2454,9,0.00,119,6727.00
5059,Elected,8,Lyttle,Chris,2,Alliance Party,13038,9,0.00,120,7268.87
84,Excluded,2,McKeag,Jordy,2,Independent,19746,9,0.00,121,0.00
1447,Excluded,7,Milne,Georgina,2,Green Party,19699,9,0.00,122,0.00
4729,,,Newton,Robin,2,Democratic Unionist Party,13040,9,377.54,123,5268.26
1173,Excluded,6,O'Donnell,Máiréad,2,Sinn Fein,19680,9,0.00,124,0.00
442,Excluded,4,Robinson,Courtney,2,Cross-Community Labour Alternative,13041,9,0.00,125,0.00
5275,Elected,9,Allen,Andy,2,Ulster Unionist Party,8116,10,0.00,126,7257.62
275,Excluded,4,Bodel,Sheila,2,NI Conservatives,19719,10,0.00,127,0.00
6007,Elected,9,Bunting,Joanne,2,Democratic Unionist Party,13032,10,0.00,128,6759.01
4431,,,Douglas,David,2,Democratic Unionist Party,19687,10,98.00,129,5093.25
250,Excluded,3,de Faoite,Séamas,2,Social Democratic and Labour Party,19745,10,0.00,130,0.00
917,Excluded,5,Girvin,Andrew,2,Traditional Unionist Voice,13035,10,0.00,131,0.00
2658,Excluded,8,Kyle,John,2,Progressive Unionist Party,13037,10,0.00,132,0.00
7610,Elected,1,Long,Naomi,2,Alliance Party,2454,10,0.00,133,6727.00
5059,Elected,8,Lyttle,Chris,2,Alliance Party,13038,10,-541.87,134,6727.00
84,Excluded,2,McKeag,Jordy,2,Independent,19746,10,0.00,135,0.00
1447,Excluded,7,Milne,Georgina,2,Green Party,19699,10,0.00,136,0.00
4729,,,Newton,Robin,2,Democratic Unionist Party,13040,10,65.00,137,5333.26
1173,Excluded,6,O'Donnell,Máiréad,2,Sinn Fein,19680,10,0.00,138,0.00
442,Excluded,4,Robinson,Courtney,2,Cross-Community Labour Alternative,13041,10,0.00,139,0.00
5275,Elected,9,Allen,Andy,2,Ulster Unionist Party,8116,11,-530.62,140,6727.00
275,Excluded,4,Bodel,Sheila,2,NI Conservatives,19719,11,0.00,141,0.00
6007,Elected,9,Bunting,Joanne,2,Democratic Unionist Party,13032,11,0.00,142,6759.01
4431,Excluded,11,Douglas,David,2,Democratic Unionist Party,19687,11,317.59,143,5410.84
250,Excluded,3,de Faoite,Séamas,2,Social Democratic and Labour Party,19745,11,0.00,144,0.00
917,Excluded,5,Girvin,Andrew,2,Traditional Unionist Voice,13035,11,0.00,145,0.00
2658,Excluded,8,Kyle,John,2,Progressive Unionist Party,13037,11,0.00,146,0.00
7610,Elected,1,Long,Naomi,2,Alliance Party,2454,11,0.00,147,6727.00
5059,Elected,8,Lyttle,Chris,2,Alliance Party,13038,11,0.00,148,6727.00
84,Excluded,2,McKeag,Jordy,2,Independent,19746,11,0.00,149,0.00
1447,Excluded,7,Milne,Georgina,2,Green Party,19699,11,0.00,150,0.00
4729,Elected,11,Newton,Robin,2,Democratic Unionist Party,13040,11,208.39,151,5541.65
1173,Excluded,6,O'Donnell,Máiréad,2,Sinn Fein,19680,11,0.00,152,0.00
442,Excluded,4,Robinson,Courtney,2,Cross-Community Labour Alternative,13041,11,0.00,153,0.00
